freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	cycle number	
1.0019525E+004	1.8903178E+005	5.2150506E+005	5.5470763E+005	-7.0075760E+001	4.000000000000000E+000
8.0808101E+003	2.1533553E+005	6.2632125E+005	6.6230481E+005	-7.1026512E+001	4.000000000000000E+000
6.4205449E+003	2.4849888E+005	7.5969381E+005	7.9930369E+005	-7.1886871E+001	4.000000000000000E+000
5.0116030E+003	2.9420425E+005	9.3393238E+005	9.7917606E+005	-7.2514702E+001	4.000000000000000E+000
3.9812698E+003	3.4726919E+005	1.1321444E+006	1.1842073E+006	-7.2947350E+001	4.000000000000000E+000
3.1630396E+003	4.1061984E+005	1.3780941E+006	1.4379680E+006	-7.3407936E+001	4.000000000000000E+000
2.5124102E+003	4.8319894E+005	1.6684204E+006	1.7369824E+006	-7.3848213E+001	4.000000000000000E+000
1.9956379E+003	5.6478531E+005	2.0199663E+006	2.0974380E+006	-7.4378937E+001	4.000000000000000E+000
1.5844926E+003	6.5384713E+005	2.4514920E+006	2.5371893E+006	-7.5066055E+001	4.000000000000000E+000
1.2587904E+003	1.4264955E+006	3.7970968E+006	4.0562093E+006	-6.9409775E+001	4.000000000000000E+000
9.9968164E+002	1.7565653E+006	4.4773805E+006	4.8096215E+006	-6.8578941E+001	4.000000000000000E+000
7.9423932E+002	2.1112828E+006	5.2543095E+006	5.6626215E+006	-6.8108788E+001	4.000000000000000E+000
6.3100977E+002	2.4929925E+006	6.1742730E+006	6.6585780E+006	-6.8012573E+001	4.000000000000000E+000
5.0112231E+002	2.8623235E+006	7.2883150E+006	7.8302255E+006	-6.8558685E+001	4.000000000000000E+000
3.9808899E+002	3.2473713E+006	8.6803450E+006	9.2678910E+006	-6.9488861E+001	4.000000000000000E+000
3.1631589E+002	3.6477510E+006	1.0411475E+007	1.1031994E+007	-7.0691643E+001	4.000000000000000E+000
2.5120601E+002	4.0986695E+006	1.2585167E+007	1.3235767E+007	-7.1960884E+001	4.000000000000000E+000
1.9955261E+002	4.6984465E+006	1.5311996E+007	1.6016636E+007	-7.2941505E+001	4.000000000000000E+000
1.5852898E+002	5.4097690E+006	1.8658844E+007	1.9427250E+007	-7.3831512E+001	4.000000000000000E+000
1.2592673E+002	1.2307423E+007	2.9934556E+007	3.2365882E+007	-6.7650261E+001	4.000000000000000E+000
9.9968163E+001	1.5418212E+007	3.4909520E+007	3.8162756E+007	-6.6170769E+001	4.000000000000000E+000
7.9415733E+001	1.8400606E+007	4.0429688E+007	4.4420064E+007	-6.5528481E+001	4.000000000000000E+000
6.3082275E+001	1.8474718E+007	3.7137804E+007	4.1479292E+007	-6.3551311E+001	4.000000000000000E+000
5.0112232E+001	2.5296174E+007	5.5423720E+007	6.0923600E+007	-6.5467369E+001	4.000000000000000E+000
3.9808899E+001	2.9184070E+007	6.5506756E+007	7.1713632E+007	-6.5986435E+001	4.000000000000000E+000
3.1629576E+001	3.5339988E+007	7.9753384E+007	8.7232544E+007	-6.6101112E+001	4.000000000000000E+000
2.5120600E+001	3.9835648E+007	9.2866200E+007	1.0104954E+008	-6.6782730E+001	4.000000000000000E+000
1.9955261E+001	4.8611672E+007	1.1335530E+008	1.2333904E+008	-6.6788246E+001	4.000000000000000E+000
